imvl_type,listing.address.state,listing.backyard,listing.barbgrill,listing.bathrooms,listing.bathtub,listing.bedrooms,listing.fireplace,listing.furnished,listing.garden,listing.guestpark,listing.gym,listing.hottub,listing.parkingSpaces,listing.partyhall,listing.playground,listing.pool,listing.pricingInfo.monthlyCondoFee,listing.pricingInfo.salePrice,listing.pricingInfo.yearlyIptu,listing.sauna,listing.sportcourt,listing.suites,listing.tenniscourt,listing.usableAreas
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,709,610.000,3.030,False,True,2,False,108
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,1,False,False,False,350,230.000,1.549,False,False,1,False,110
apartamentos,rn,False,False,1,False,1,False,False,False,False,False,False,1,False,False,False,1,115.000,1,False,False,,False,55
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,550,830.000,2.500,True,True,2,False,101
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,700,750.000,,True,True,1,False,178
apartamentos,rn,False,True,1,False,2,False,False,True,False,True,False,1,True,True,True,,380.000,,True,False,1,True,59
apartamentos,rn,False,True,3,False,3,False,True,True,False,False,False,2,True,False,True,670,590.000,3.100,False,False,1,False,96
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,380,270.000,1.300,False,True,1,False,54
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,2,False,False,False,1.400,380.000,3.117,False,False,3,False,155
apartamentos,rn,False,False,1,False,1,False,False,False,False,False,False,1,False,False,False,,210.000,,False,False,1,False,55
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,3,False,False,False,1.085,820.000,3.880,False,False,3,False,136
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,2,True,False,True,350,375.000,1.980,False,True,1,False,55
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,513,480.000,2.246,False,True,1,False,92
apartamentos,rn,False,False,1,False,1,False,True,True,False,False,False,1,False,False,False,200,250.000,,False,False,,False,48
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,True,True,True,520,315.000,,False,False,1,False,55
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,1,False,False,False,230,230.000,1.374,False,False,1,False,61
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,1,False,False,True,,361.765,,False,False,1,False,54
apartamentos,rn,False,True,3,False,3,False,False,False,False,True,False,2,True,True,False,500,460.000,2.000,False,True,1,False,76
apartamentos,rn,False,True,2,False,3,False,False,False,False,True,False,2,True,True,False,,420.000,,False,True,1,False,87
apartamentos,rn,False,True,4,False,3,True,False,True,False,False,False,2,True,True,True,850,475.000,2.400,False,False,3,False,98
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,2,True,True,True,600,689.000,2.500,False,True,1,False,79
apartamentos,rn,False,True,4,False,3,False,False,True,False,True,False,2,True,True,True,920,830.000,,False,True,2,False,120
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,True,False,True,,293.000,,False,False,1,False,49
apartamentos,rn,False,True,4,False,3,False,False,True,True,True,False,2,True,True,True,,860.000,,False,True,3,False,127
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,600,400.000,180,True,True,1,True,59
apartamentos,rn,False,True,2,False,3,False,False,True,False,False,False,2,True,True,True,600,375.000,1.937,False,True,1,False,90
apartamentos,rn,False,True,2,False,3,False,False,False,False,False,False,2,False,False,True,480,450.000,,False,True,1,False,76
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,False,613,340.000,,False,False,1,False,75
apartamentos,rn,False,True,4,False,3,False,False,False,False,False,False,2,False,True,True,900,479.000,,False,False,3,False,97
apartamentos,rn,False,True,4,False,3,False,False,True,False,False,False,2,False,True,True,950,620.000,,False,False,3,False,110
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,1,True,True,True,583,329.900,1.800,False,True,1,False,59
apartamentos,rn,False,False,4,False,4,False,False,False,False,False,False,2,False,False,False,,650.000,,False,False,3,False,190
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,False,350,320.000,22.000,False,False,2,False,98
apartamentos,rn,False,True,4,False,3,False,False,False,False,False,False,2,False,True,True,,620.000,,False,False,2,False,113
apartamentos,rn,False,False,1,False,2,False,False,False,False,False,False,1,False,False,False,155,130.000,,False,False,,False,48
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,True,False,False,455,219.999,800,False,False,1,False,55
apartamentos,rn,False,True,4,False,3,False,False,True,False,False,False,2,True,False,True,970,450.000,2.600,False,False,3,False,98
apartamentos,rn,False,False,5,False,3,False,False,True,False,False,False,3,True,False,True,1.900,910.000,2.500,False,False,3,False,267
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,530,460.000,,False,False,1,False,90
apartamentos,rn,False,False,2,False,3,False,False,True,False,True,False,2,True,True,False,,525.000,2.940,False,False,1,False,74
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,True,460,330.000,,False,False,1,False,75
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,440,390.000,,False,True,1,False,75
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,374,335.000,1.548,False,False,1,False,56
apartamentos,rn,False,False,2,False,2,False,False,True,True,True,False,2,True,True,True,350,240.000,1.200,False,True,1,True,57
apartamentos,rn,False,True,1,False,2,False,False,True,False,True,False,1,True,True,True,290,230.000,1.100,False,True,0,False,47
